Provider,Fraud,inp_total_claims,inp_unique_bene,inp_sum_InscClaimAmtReimbursed,inp_mean_InscClaimAmtReimbursed,inp_sum_DeductibleAmtPaid,inp_mean_DeductibleAmtPaid,out_total_claims,out_unique_bene,out_sum_InscClaimAmtReimbursed,out_mean_InscClaimAmtReimbursed,out_sum_DeductibleAmtPaid,out_mean_DeductibleAmtPaid
PRV51026,0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,56.0,19840.0,261.05263157894734,340.0,4.473684210526316
PRV51027,0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,44.0,29840.0,563.0188679245283,0.0,0.0
PRV51029,0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,79.0,30660.0,329.6774193548387,160.0,1.7204301075268817
PRV51030,0,82.0,71.0,705600.0,8604.878048780487,86508.0,1068.0,89.0,78.0,34160.0,383.82022471910113,240.0,2.696629213483146
PRV51031,0,28.0,26.0,329000.0,11750.0,29904.0,1068.0,157.0,135.0,30720.0,195.6687898089172,340.0,2.1656050955414012
PRV51032,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,5420.0,235.65217391304347,50.0,2.1739130434782608
PRV51035,0,1.0,1.0,29000.0,29000.0,1068.0,1068.0,29.0,24.0,3560.0,122.75862068965517,360.0,12.413793103448276
PRV51036,0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,131.0,74880.0,269.3525179856115,1410.0,5.071942446043166
PRV51037,1,23.0,21.0,214000.0,9304.347826086956,24564.0,1068.0,431.0,202.0,128230.0,297.51740139211137,960.0,2.2273781902552203
PRV51038,0,30.0,26.0,229600.0,7653.333333333333,30972.0,1068.0,111.0,83.0,35890.0,323.3333333333333,220.0,1.981981981981982
PRV51040,0,9.0,8.0,63000.0,7000.0,8544.0,1068.0,77.0,62.0,11470.0,148.96103896103895,240.0,3.116883116883117
PRV51041,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,7410.0,217.94117647058823,270.0,7.9411764705882355
PRV51042,0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,128.0,48050.0,338.38028169014086,310.0,2.183098591549296
PRV51043,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,4480.0,194.7826086956522,0.0,0.0
PRV51044,0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,39.0,21330.0,361.52542372881356,130.0,2.2033898305084745
PRV51045,0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,29.0,8390.0,270.64516129032256,40.0,1.2903225806451613
PRV51046,0,8.0,7.0,101000.0,12625.0,8544.0,1068.0,30.0,19.0,8370.0,279.0,100.0,3.3333333333333335
PRV51047,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,2530.0,230.0,0.0,0.0
PRV51048,0,4.0,4.0,19000.0,4750.0,4272.0,1068.0,34.0,30.0,8700.0,255.88235294117646,80.0,2.3529411764705883
PRV51049,0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,65.0,21720.0,305.9154929577465,190.0,2.676056338028169
PRV51052,1,2.0,2.0,14000.0,7000.0,2136.0,1068.0,44.0,36.0,16800.0,381.8181818181818,210.0,4.7727272727272725
PRV51053,0,1.0,1.0,8000.0,8000.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51054,0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,40.0,15130.0,265.43859649122805,140.0,2.456140350877193
PRV51055,0,2.0,2.0,16700.0,8350.0,2136.0,1068.0,20.0,20.0,4940.0,247.0,70.0,3.5
PRV51056,0,2.0,2.0,8000.0,4000.0,2136.0,1068.0,20.0,19.0,6700.0,335.0,10.0,0.5
PRV51057,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,6830.0,1366.0,0.0,0.0
PRV51058,0,5.0,5.0,91000.0,18200.0,5340.0,1068.0,78.0,71.0,16030.0,205.51282051282053,200.0,2.5641025641025643
PRV51059,1,25.0,23.0,401000.0,16040.0,26700.0,1068.0,71.0,60.0,20060.0,282.53521126760563,240.0,3.380281690140845
PRV51060,0,5.0,5.0,35000.0,7000.0,5340.0,1068.0,37.0,37.0,8710.0,235.40540540540542,0.0,0.0
PRV51061,0,1.0,1.0,3000.0,3000.0,1068.0,1068.0,144.0,66.0,51940.0,360.69444444444446,260.0,1.8055555555555556
PRV51062,0,3.0,3.0,45000.0,15000.0,3204.0,1068.0,394.0,164.0,108380.0,275.0761421319797,740.0,1.8781725888324874
PRV51063,0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,115.0,51110.0,343.02013422818794,160.0,1.0738255033557047
PRV51064,1,36.0,34.0,280000.0,7777.777777777777,38448.0,1068.0,267.0,198.0,80320.0,300.8239700374532,500.0,1.8726591760299625
PRV51065,0,10.0,10.0,75000.0,7500.0,9612.0,1068.0,18.0,16.0,1570.0,87.22222222222223,110.0,6.111111111111111
PRV51066,0,2.0,2.0,19000.0,9500.0,2136.0,1068.0,22.0,19.0,5790.0,263.1818181818182,100.0,4.545454545454546
PRV51067,1,12.0,11.0,326000.0,27166.666666666668,12816.0,1068.0,46.0,39.0,8520.0,185.2173913043478,280.0,6.086956521739131
PRV51068,0,9.0,9.0,77000.0,8555.555555555555,8544.0,1068.0,252.0,206.0,66260.0,262.93650793650795,440.0,1.746031746031746
PRV51070,0,10.0,10.0,101000.0,10100.0,10680.0,1068.0,89.0,61.0,24410.0,274.2696629213483,300.0,3.3707865168539324
PRV51071,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,8550.0,356.25,50.0,2.0833333333333335
PRV51072,0,12.0,12.0,72000.0,6000.0,11748.0,1068.0,200.0,150.0,47170.0,235.85,430.0,2.15
PRV51074,0,5.0,5.0,31000.0,6200.0,5340.0,1068.0,34.0,34.0,10170.0,299.11764705882354,80.0,2.3529411764705883
PRV51075,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,8550.0,502.94117647058823,70.0,4.117647058823529
PRV51076,0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,27.0,10230.0,352.7586206896552,50.0,1.7241379310344827
PRV51077,1,16.0,13.0,199000.0,12437.5,16020.0,1068.0,17.0,17.0,5350.0,314.70588235294116,200.0,11.764705882352942
PRV51078,0,9.0,9.0,76000.0,8444.444444444445,8544.0,1068.0,14.0,14.0,2270.0,162.14285714285714,100.0,7.142857142857143
PRV51081,0,6.0,6.0,79000.0,13166.666666666666,6408.0,1068.0,194.0,125.0,45080.0,232.37113402061857,760.0,3.917525773195876
PRV51082,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.0,5470.0,160.88235294117646,70.0,2.0588235294117645
PRV51083,0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,81.0,18100.0,201.11111111111111,140.0,1.5555555555555556
PRV51084,1,20.0,19.0,191000.0,9550.0,21360.0,1068.0,90.0,67.0,24580.0,273.1111111111111,530.0,5.888888888888889
PRV51086,0,31.0,30.0,413000.0,13322.58064516129,33108.0,1068.0,108.0,86.0,33170.0,307.1296296296296,60.0,0.5555555555555556
PRV51089,0,18.0,18.0,177000.0,9833.333333333334,18156.0,1068.0,210.0,179.0,53900.0,256.6666666666667,540.0,2.5714285714285716
PRV51090,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5830.0,832.8571428571429,60.0,8.571428571428571
PRV51091,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,9270.0,210.6818181818182,80.0,1.8181818181818181
PRV51093,0,2.0,2.0,11000.0,5500.0,2136.0,1068.0,7.0,7.0,2710.0,387.14285714285717,0.0,0.0
PRV51096,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3200.0,640.0,100.0,20.0
PRV51097,0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,71.0,44420.0,355.36,230.0,1.84
PRV51098,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,300.0,75.0,0.0,0.0
PRV51100,0,5.0,5.0,78000.0,15600.0,5340.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51101,0,3.0,3.0,16600.0,5533.333333333333,3204.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51102,0,12.0,11.0,148000.0,12333.333333333334,12816.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51103,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,440.0,73.33333333333333,60.0,10.0
PRV51104,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,1900.0,158.33333333333334,110.0,9.166666666666666
PRV51105,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,6540.0,545.0,0.0,0.0
PRV51108,0,19.0,19.0,156000.0,8210.526315789473,19224.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51109,0,3.0,3.0,18000.0,6000.0,3204.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51110,0,5.0,5.0,27000.0,5400.0,5340.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51111,0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,85.0,54860.0,415.6060606060606,200.0,1.5151515151515151
PRV51112,0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,195.0,105250.0,346.2171052631579,810.0,2.664473684210526
PRV51113,0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,78.0,46390.0,351.43939393939394,550.0,4.166666666666667
PRV51114,0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,160.0,76720.0,292.82442748091603,560.0,2.1374045801526718
PRV51115,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,980.0,140.0,20.0,2.857142857142857
PRV51117,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,1950.0,162.5,0.0,0.0
PRV51118,0,16.0,16.0,136000.0,8500.0,14952.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51119,1,94.0,81.0,985000.0,10478.72340425532,96120.0,1068.0,1.0,1.0,95580.0,95580.0,865.0,865.0
PRV51120,0,7.0,7.0,52000.0,7428.571428571428,7476.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51121,0,6.0,6.0,81000.0,13500.0,6408.0,1068.0,1.0,1.0,80.0,80.0,0.0,0.0
PRV51122,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1120.0,160.0,0.0,0.0
PRV51123,0,2.0,2.0,9000.0,4500.0,2136.0,1068.0,29.0,28.0,17910.0,617.5862068965517,40.0,1.3793103448275863
PRV51125,0,12.0,12.0,110000.0,9166.666666666666,12816.0,1068.0,36.0,20.0,21310.0,591.9444444444445,280.0,7.777777777777778
PRV51126,1,20.0,14.0,177000.0,8850.0,21360.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51128,0,5.0,3.0,90000.0,18000.0,5340.0,1068.0,45.0,37.0,12220.0,271.55555555555554,0.0,0.0
PRV51129,0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,65.0,22920.0,238.75,480.0,5.0
PRV51130,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4970.0,710.0,0.0,0.0
PRV51131,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1160.0,145.0,70.0,8.75
PRV51132,0,1.0,1.0,4000.0,4000.0,1068.0,1068.0,7.0,5.0,1330.0,190.0,0.0,0.0
PRV51134,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,7610.0,507.3333333333333,80.0,5.333333333333333
PRV51135,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,300.0,60.0,0.0,0.0
PRV51136,0,1.0,1.0,20000.0,20000.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51137,0,1.0,1.0,6000.0,6000.0,1068.0,1068.0,54.0,50.0,10050.0,186.11111111111111,280.0,5.185185185185185
PRV51138,0,1.0,1.0,6000.0,6000.0,1068.0,1068.0,25.0,20.0,7430.0,297.2,0.0,0.0
PRV51139,0,7.0,7.0,41300.0,5900.0,7476.0,1068.0,36.0,35.0,11280.0,313.3333333333333,40.0,1.1111111111111112
PRV51140,0,47.0,45.0,307400.0,6540.425531914893,49128.0,1068.0,440.0,363.0,145730.0,331.20454545454544,1290.0,2.9318181818181817
PRV51141,0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,37.0,19490.0,274.50704225352115,170.0,2.3943661971830985
PRV51142,0,7.0,5.0,97000.0,13857.142857142857,7476.0,1068.0,44.0,35.0,7570.0,172.04545454545453,60.0,1.3636363636363635
PRV51143,0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,68.0,20450.0,265.5844155844156,350.0,4.545454545454546
PRV51144,0,4.0,4.0,53000.0,13250.0,4272.0,1068.0,26.0,25.0,8220.0,316.15384615384613,220.0,8.461538461538462
PRV51145,1,161.0,125.0,1600600.0,9941.614906832297,166608.0,1068.0,41.0,39.0,5750.0,140.2439024390244,140.0,3.4146341463414633
PRV51146,1,162.0,157.0,1618200.0,9988.888888888889,170880.0,1068.0,190.0,177.0,62710.0,330.05263157894734,790.0,4.157894736842105
PRV51147,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,8860.0,276.875,210.0,6.5625
PRV51148,1,34.0,33.0,398400.0,11717.64705882353,35244.0,1068.0,296.0,230.0,90260.0,304.93243243243245,1050.0,3.5472972972972974
PRV51149,1,116.0,108.0,1113000.0,9594.827586206897,123888.0,1068.0,32.0,28.0,7680.0,240.0,70.0,2.1875
PRV51151,0,22.0,22.0,142000.0,6454.545454545455,22428.0,1068.0,211.0,203.0,59300.0,281.042654028436,870.0,4.123222748815166
PRV51152,0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,39.0,25770.0,310.48192771084337,500.0,6.024096385542169
PRV51153,0,4.0,4.0,51000.0,12750.0,4272.0,1068.0,83.0,79.0,20490.0,246.86746987951807,630.0,7.590361445783133
PRV51154,0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,147.0,45750.0,284.16149068322983,790.0,4.906832298136646
PRV51155,0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,110.0,26330.0,228.95652173913044,160.0,1.391304347826087
PRV51156,0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,425.0,140640.0,259.48339483394835,1720.0,3.1734317343173433
PRV51159,1,65.0,60.0,635660.0,9779.384615384615,69420.0,1068.0,504.0,448.0,162130.0,321.68650793650795,1030.0,2.0436507936507935
PRV51160,0,90.0,87.0,866000.0,9622.222222222223,96120.0,1068.0,24.0,24.0,6020.0,250.83333333333334,20.0,0.8333333333333334
PRV51164,0,41.0,40.0,443000.0,10804.878048780487,43788.0,1068.0,350.0,298.0,113980.0,325.65714285714284,760.0,2.1714285714285713
PRV51165,0,26.0,26.0,306000.0,11769.23076923077,27768.0,1068.0,72.0,71.0,23700.0,329.1666666666667,320.0,4.444444444444445
PRV51166,0,1.0,1.0,22000.0,22000.0,1068.0,1068.0,4.0,4.0,2870.0,717.5,0.0,0.0
PRV51167,0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,182.0,51980.0,273.57894736842104,410.0,2.1578947368421053
PRV51168,0,9.0,9.0,63000.0,7000.0,9612.0,1068.0,78.0,77.0,17470.0,223.97435897435898,170.0,2.1794871794871793
PRV51169,0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,74.0,19380.0,251.6883116883117,50.0,0.6493506493506493
PRV51170,1,8.0,8.0,145000.0,18125.0,8544.0,1068.0,8.0,8.0,820.0,102.5,0.0,0.0
PRV51171,0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,13820.0,234.23728813559322,200.0,3.389830508474576
PRV51173,1,7.0,7.0,90000.0,12857.142857142857,7476.0,1068.0,15.0,14.0,6290.0,419.3333333333333,200.0,13.333333333333334
PRV51175,0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,39.0,9650.0,235.3658536585366,90.0,2.1951219512195124
PRV51176,0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,399.0,145980.0,328.0449438202247,870.0,1.9550561797752808
PRV51178,1,34.0,33.0,422000.0,12411.764705882353,36312.0,1068.0,31.0,31.0,9180.0,296.1290322580645,290.0,9.35483870967742
PRV51179,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,5000.0,192.30769230769232,0.0,0.0
PRV51180,0,2.0,2.0,47000.0,23500.0,2136.0,1068.0,127.0,84.0,47240.0,371.9685039370079,280.0,2.204724409448819
PRV51181,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2150.0,215.0,0.0,0.0
PRV51183,0,41.0,41.0,336800.0,8214.634146341463,42720.0,1068.0,72.0,65.0,18990.0,263.75,70.0,0.9722222222222222
PRV51185,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1590.0,198.75,0.0,0.0
PRV51186,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,50.0,0.0,0.0
PRV51189,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,51.0,8740.0,156.07142857142858,240.0,4.285714285714286
PRV51190,0,3.0,3.0,24000.0,8000.0,3204.0,1068.0,63.0,61.0,15310.0,243.015873015873,330.0,5.238095238095238
PRV51191,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,30.0,10990.0,343.4375,90.0,2.8125
PRV51194,0,2.0,2.0,18000.0,9000.0,2136.0,1068.0,7.0,7.0,540.0,77.14285714285714,0.0,0.0
PRV51196,0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,432.0,197060.0,273.69444444444446,1750.0,2.4305555555555554
PRV51198,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,360.0,60.0,30.0,5.0
PRV51200,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,4420.0,232.6315789473684,0.0,0.0
PRV51201,0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,41.0,10660.0,236.88888888888889,50.0,1.1111111111111112
PRV51202,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5010.0,417.5,0.0,0.0
PRV51203,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.0,15340.0,730.4761904761905,80.0,3.8095238095238093
PRV51204,0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,398.0,155180.0,310.9819639278557,600.0,1.2024048096192386
PRV51205,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,4660.0,466.0,70.0,7.0
PRV51206,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1560.0,156.0,0.0,0.0
PRV51207,0,3.0,3.0,51000.0,17000.0,3204.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51209,0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,38.0,9910.0,235.95238095238096,170.0,4.0476190476190474
PRV51210,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2890.0,321.1111111111111,0.0,0.0
PRV51211,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,50.0,0.0,0.0
PRV51212,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,6260.0,417.3333333333333,70.0,4.666666666666667
PRV51213,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,50.0,25.0,0.0,0.0
PRV51214,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3200.0,400.0,0.0,0.0
PRV51215,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1610.0,161.0,0.0,0.0
PRV51216,0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,66.0,15560.0,219.1549295774648,570.0,8.028169014084508
PRV51217,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2930.0,586.0,0.0,0.0
PRV51218,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,520.0,74.28571428571429,0.0,0.0
PRV51219,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5330.0,666.25,0.0,0.0
PRV51221,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,70.0,70.0,0.0,0.0
PRV51222,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,860.0,172.0,0.0,0.0
PRV51224,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3130.0,447.14285714285717,0.0,0.0
PRV51225,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1190.0,148.75,0.0,0.0
PRV51226,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,7430.0,371.5,270.0,13.5
PRV51228,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,430.0,86.0,70.0,14.0
PRV51229,0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,44.0,12410.0,264.0425531914894,110.0,2.3404255319148937
PRV51230,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,12490.0,416.3333333333333,0.0,0.0
PRV51231,0,2.0,2.0,16000.0,8000.0,2136.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51232,0,1.0,1.0,26000.0,26000.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51233,0,3.0,3.0,27000.0,9000.0,3204.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51234,0,5.0,5.0,29000.0,5800.0,5340.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51235,0,2.0,2.0,10000.0,5000.0,2136.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51236,0,1.0,1.0,12000.0,12000.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51237,0,1.0,1.0,19000.0,19000.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51238,0,8.0,8.0,132000.0,16500.0,4272.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51239,0,1.0,1.0,5000.0,5000.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51240,0,11.0,11.0,81000.0,7363.636363636364,11748.0,1068.0,49.0,29.0,13020.0,265.7142857142857,40.0,0.8163265306122449
PRV51241,0,10.0,9.0,78000.0,7800.0,9612.0,1068.0,50.0,38.0,12210.0,244.2,160.0,3.2
PRV51242,1,11.0,10.0,88000.0,8000.0,10680.0,1068.0,100.0,79.0,29200.0,292.0,420.0,4.2
PRV51243,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,15.0,6330.0,175.83333333333334,270.0,7.5
PRV51244,1,200.0,166.0,1796100.0,8980.5,209328.0,1068.0,1215.0,587.0,357890.0,294.559670781893,2590.0,2.1316872427983538
PRV51245,0,4.0,4.0,20000.0,5000.0,3204.0,1068.0,169.0,55.0,63630.0,376.50887573964496,690.0,4.0828402366863905
PRV51247,0,10.0,7.0,74000.0,7400.0,9612.0,1068.0,24.0,19.0,2240.0,93.33333333333333,110.0,4.583333333333333
PRV51248,0,1.0,1.0,23000.0,23000.0,1068.0,1068.0,1.0,1.0,500.0,500.0,0.0,0.0
PRV51249,1,51.0,40.0,506000.0,9921.56862745098,51264.0,1068.0,75.0,66.0,15330.0,204.4,210.0,2.8
PRV51250,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,71.0,22560.0,265.4117647058824,280.0,3.2941176470588234
PRV51251,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,3590.0,326.3636363636364,0.0,0.0
PRV51252,0,18.0,18.0,142000.0,7888.888888888889,18156.0,1068.0,69.0,60.0,12930.0,187.3913043478261,200.0,2.898550724637681
PRV51253,0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,76.0,21740.0,255.76470588235293,300.0,3.5294117647058822
PRV51255,0,2.0,2.0,11000.0,5500.0,2136.0,1068.0,72.0,61.0,29570.0,410.69444444444446,60.0,0.8333333333333334
PRV51256,0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,80.0,38550.0,405.7894736842105,0.0,0.0
PRV51258,0,8.0,7.0,98000.0,12250.0,8544.0,1068.0,6.0,6.0,1660.0,276.6666666666667,200.0,33.333333333333336
PRV51259,0,4.0,3.0,150000.0,37500.0,4272.0,1068.0,17.0,16.0,1960.0,115.29411764705883,0.0,0.0
PRV51260,0,3.0,3.0,78000.0,26000.0,3204.0,1068.0,59.0,52.0,14390.0,243.89830508474577,0.0,0.0
PRV51261,0,26.0,25.0,245000.0,9423.076923076924,26700.0,1068.0,116.0,101.0,25170.0,216.98275862068965,420.0,3.6206896551724137
PRV51262,0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,52.0,16270.0,271.1666666666667,40.0,0.6666666666666666
PRV51263,1,18.0,15.0,210000.0,11666.666666666666,19224.0,1068.0,26.0,25.0,8170.0,314.2307692307692,70.0,2.6923076923076925
PRV51264,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,35.0,5270.0,135.12820512820514,120.0,3.076923076923077
PRV51265,0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,84.0,45770.0,286.0625,750.0,4.6875
PRV51266,0,10.0,10.0,78300.0,7830.0,9612.0,1068.0,82.0,72.0,24600.0,300.0,150.0,1.829268292682927
